Zip,Household Median,Family Median,Married Couple Median,Nonfamily Household Median,Household Mean,Family Mean,Married Couple Mean,Nonfamily Mean
97886,62083,72788,75156,19135,69613,82407,N,30924
97901,43646,50469,55197,-,56879,57276,N,54910
97903,74000,74000,81250,-,117779,117779,N,-
97904,47813,73333,73750,16442,101991,115014,N,61217
97905,82500,90250,90250,-,75073,77169,N,N
97906,47708,55250,61667,15357,62327,76290,N,22619
97907,47500,51875,58068,-,53526,61718,N,45715
97908,23750,-,-,26250,31694,34850,N,29170
97909,-,-,-,-,N,N,N,-
97910,46136,53333,67917,20625,68606,71143,N,58465
97911,45000,48333,48750,-,45990,60930,N,33089
97913,44048,57755,66707,16840,52602,60113,N,29769
97914,41427,48057,66757,23081,55158,62166,N,37939
97918,43158,54188,64301,20375,55840,64926,N,29863
97920,-,-,-,8995,32651,102250,N,12404
